id;status;payment_provider_id;payment_list_id;order_id;order_no;invoice_id;reference_id;client_id;amount;tax;payment_charge;total;expiry_request;expiry_time;expiry_link;process_expired;payment_code;payment_deeplink;payment_obj;notes;sgi_uid;customer_name;customer_email;customer_mobile_number;is_subscription;total_recurring;retry_total;retry_interval;cycle_active;mode;mode_interval;next_payment;send_callback;send_callback_attempt;send_email;send_email_attempt;created_at;created_by;updated_at;updated_by
1;dapper;16426;31125;15991;unless enfold;while lest knavishly;misread sometimes;11879;19070.98;4917.69;2162.75;8233.69;true;2025-04-08T12:57:29;2025-04-08T17:01:42;true;across failing;inside;brr;against boo handle;dishonor;yet if supposing;questionable on across;abaft oof incidentally;false;22240;24872;7227;1521;obediently apud supposing;pointless bashfully whether;2025-04-08T10:53:46;true;26513;false;31266;2025-04-09T08:47:37;7850;2025-04-09T03:27:38;20540
2;which wrongly;23931;15355;2570;er bah loudly;makeover;zowie;5828;2747.21;30181.85;28614.03;64.2;false;2025-04-08T18:44:06;2025-04-08T18:51:57;false;divine failing cuddly;mostly;into triumphantly incinerate;along bide;until degrease;jagged;bravely;boohoo round unwieldy;true;2809;8256;7977;16521;ah yowza;squirm victoriously;2025-04-09T08:51:56;true;6662;true;24733;2025-04-08T22:57:02;9171;2025-04-08T21:10:27;11501
3;fowl;28207;30675;30386;geez psst;sheepishly boohoo;amid;5794;11565.96;22396.67;29424.13;17578.16;false;2025-04-08T13:12:00;2025-04-09T08:59:19;true;majestically now towards;cuddly actual freely;incidentally aside;reservation custom;aggressive alongside how;metabolite;apostrophize;but beside;true;17904;24413;30640;10781;boo highly;tune-up within;2025-04-08T22:32:57;false;25942;true;11065;2025-04-08T11:50:16;30170;2025-04-08T19:33:01;19889
4;blah;8058;26216;2829;psst object pace;ick neatly in;deceivingly;31643;23221.39;29896.37;16182.42;2250.55;true;2025-04-08T23:46:42;2025-04-08T13:08:50;false;huzzah scuffle;individual jovially leading;aboard;gloomy;phooey ocelot along;woot monthly;uh-huh yet;political vain;true;2158;4189;16430;32442;ponder;from how;2025-04-08T11:05:25;false;31959;false;22805;2025-04-08T14:15:07;24516;2025-04-09T04:05:44;27977
5;aside nun;10041;19549;29887;goose;coaxingly golden;hm;31058;10204.73;7501.06;12380.02;32665.71;false;2025-04-08T11:40:11;2025-04-08T14:13:49;false;evil;SUV;among provided passionate;gee;premeditation lotion;immediate stuff;now lox transplant;flight;true;19210;21434;4506;17430;forecast table;that;2025-04-09T10:37:25;false;6728;true;24053;2025-04-09T03:46:44;29931;2025-04-09T08:10:19;30710
6;brr;24538;23311;31713;provision;pfft;gadzooks against help;14993;17968.77;13813.99;15557.34;23224.95;true;2025-04-08T15:18:11;2025-04-08T22:19:46;false;wherever papa per;whether;ew;after;through except;boo;accidentally;jealous aggravating;false;605;22378;26906;14508;including import;institutionalize rejoin alert;2025-04-09T10:05:12;false;24902;false;22488;2025-04-08T23:29:23;9769;2025-04-08T16:24:53;18877
7;flawless ferociously wherever;5632;3549;19531;untimely;amidst;lighthearted inside;5194;6749.12;19493.64;5612.53;19050.41;true;2025-04-08T11:46:11;2025-04-08T18:02:48;false;deck without alb;besides ick igloo;antique;rag;narrate ugh reassuringly;duh;though;whenever consequently mostly;true;23151;9001;11710;26941;oof;trench;2025-04-09T03:55:31;true;20162;true;32435;2025-04-09T03:01:31;16585;2025-04-09T06:20:27;27065
8;display vicinity quietly;27107;31521;3805;knowledgeably yearly till;eek unless;phooey merge unlike;17440;29909.46;13886.56;15867.12;16577.4;true;2025-04-09T09:16:49;2025-04-08T17:05:27;true;fowl oof;wherever;while fall provided;gosh until cycle;consequently rewrite;monthly gym athwart;doting lift loftily;outside ack likewise;false;977;7175;20761;304;silent;deed;2025-04-08T11:02:40;true;5304;true;4830;2025-04-08T11:16:50;28572;2025-04-09T07:51:10;18122
9;finished;21824;11625;5566;pitiful likewise;shoulder;nun instead;7585;14753.95;26999.75;810.52;1083.83;true;2025-04-08T18:40:41;2025-04-08T16:41:28;true;physical;certify menacing;convection psst;boastfully sour;generously;out whoever lazily;phew;yippee;false;26011;19101;16937;3020;beside openly yippee;woot solidly;2025-04-08T21:03:45;true;18590;false;5451;2025-04-08T13:44:20;3597;2025-04-09T03:17:21;13272
10;swat;2381;32560;3542;ugh aw;abaft where forenenst;on;8832;32068.33;18767.3;32577.66;158.64;false;2025-04-08T23:34:17;2025-04-08T19:22:30;true;successfully;yippee how because;rawhide;triumphantly hydrolyse ring;tackle safely instead;well-groomed sunbathe;while painfully;bah shudder bah;true;31695;15061;32216;21187;yahoo mid;swat grimy;2025-04-08T17:43:29;false;13609;true;27516;2025-04-09T03:14:53;21080;2025-04-08T14:31:48;25764
