id;customer_id;fullname;mobile_number;label;country_id;province_id;city_id;district_id;village_id;zipcode;address;courier_note;longitude;latitude;is_default;created_at;created_by;updated_at;updated_by
1;1878;strict;pfft lovingly tune;warm gosh;15864;14487;14350;28341;32434;oof linseed joyfully;until epic hm;circular terribly until;zowie vivid miskey;and;false;2025-03-26T13:18:27;27220;2025-03-26T16:30:07;1108
2;18480;when obediently;chilly;hmph;29386;4225;32567;211;19584;saloon whisper among;negative geez grandiose;given instead thoroughly;advancement dependent since;apud cannon;true;2025-03-26T23:08:34;9178;2025-03-27T03:39:50;21760
3;12642;yippee brr outside;roughly;whoa ack;12472;20898;6361;30456;18201;politely meh;faithfully down;hydrocarbon boo;excluding arraign;fall geez bright;true;2025-03-27T07:25:37;16910;2025-03-27T01:56:45;16437
4;7247;toward defenseless;account outside;blissfully;23905;20008;5439;28115;30417;including yahoo celebrate;optimal miserably diligent;forenenst frozen pish;subtract microblog;following dispense;true;2025-03-26T10:47:37;3151;2025-03-26T14:11:38;23416
5;16925;ew toothbrush;hundred;jovially dependent;21826;23652;26367;30567;15992;blah;devoted reel neatly;geez;inasmuch cheerfully;outside bliss;false;2025-03-26T15:55:12;17899;2025-03-27T04:05:04;10446
6;6918;till;yet;juggernaut account;25471;23317;17386;32373;8900;stealthily;pointless put righteously;humidity which;incidentally why amid;than indeed;true;2025-03-27T04:42:39;4523;2025-03-27T06:43:16;27447
7;15886;cycle pfft;sandbar upright warp;stale interestingly;10540;1262;30929;19302;9770;subsidy;yum making heavily;effector before;gadzooks oh syringe;gleefully unbearably;false;2025-03-26T19:40:35;23671;2025-03-26T10:08:52;18633
8;23167;engage director;geez enrage;pfft contractor how;21397;32076;2068;31420;10239;when intently;absentmindedly;yippee;outside substitution;nicely afore knavishly;true;2025-03-26T12:02:53;25365;2025-03-26T17:04:56;12262
9;16831;firsthand sweet guard;toward crossly circa;airbus whenever;31226;3056;30328;26292;28022;pile;indeed;pecan oof;poppy;with likewise gee;true;2025-03-26T18:23:35;22937;2025-03-26T12:55:01;27773
10;1230;louse;per;ick galoshes beep;20386;1489;5451;18330;29535;when drat;qua;seal;briskly whoa of;gadzooks ha;true;2025-03-27T01:47:43;17142;2025-03-26T22:52:15;24715
