id;customer_id;type;name;country_number;contact;contact_hash;is_default;created_at;created_by;updated_at;updated_by
1;30382;24280;oof;forenenst;digital;lace;true;2025-03-26T23:10:40;30794;25323;4849
2;30718;25316;anguished excellent shyly;conjecture close huzzah;rubric hopeful violent;yum;false;2025-03-27T03:46:08;9955;19695;32667
3;14097;21268;factorize;speedy;that lasting;embed with queasy;false;2025-03-27T03:02:57;27476;19383;25901
4;3332;10360;tarragon;around premium zowie;whereas livid whereas;sonnet;false;2025-03-26T15:14:59;6144;26869;14727
5;4815;14833;since verbally beard;promptly;worth pish before;ick quaintly;true;2025-03-27T01:47:54;4671;8248;23616
6;5169;19065;miscalculate yahoo;crushing;warmly;drat upbeat haunting;true;2025-03-26T19:46:28;24952;21950;24035
7;16807;23042;crystallize;materialise amid;gray through without;majestically memorise wear;false;2025-03-27T05:06:45;19342;6236;4653
8;1985;30769;gah;while veto traffic;with in idolized;fat while;true;2025-03-27T08:15:43;19435;14930;11413
9;12001;31211;altruistic;outnumber below;whose;yowza juggernaut;false;2025-03-27T02:50:53;10693;9604;21279
10;24189;9953;safely;right;bookend when laughter;sparkling;true;2025-03-27T02:43:15;24261;17340;26931
