id;customer_id;payment_id;number;exp_month;exp_year;is_default;created_at;created_by;updated_at;updated_by
1;26486;24208;enrage minus nautical;6567;8381;true;2025-03-27T02:32:12;28446;2025-03-26T19:18:55;17686
2;32298;481;patiently;6390;27118;false;2025-03-27T01:23:14;32520;2025-03-27T08:12:30;11023
3;15489;23074;certainly meanwhile daughter;29696;24087;false;2025-03-27T08:34:43;3488;2025-03-26T17:22:33;22494
4;897;32251;finally slipper pish;8052;11847;true;2025-03-26T12:56:14;22158;2025-03-27T07:21:18;19478
5;20621;13390;reword worth complication;25656;12683;false;2025-03-26T15:15:49;4932;2025-03-26T17:32:16;21558
6;29957;4067;account mmm when;18301;18833;false;2025-03-27T05:11:05;21534;2025-03-26T16:53:55;6593
7;3174;58;aboard midst;19444;18375;false;2025-03-26T18:56:36;30773;2025-03-26T17:19:04;18278
8;1156;814;goodwill instead;10982;23737;true;2025-03-27T01:29:05;1315;2025-03-27T03:36:16;13259
9;5057;19202;pleased;12922;3462;true;2025-03-27T00:49:47;5116;2025-03-26T20:23:27;15766
10;29127;9070;however ah ugh;15098;10069;false;2025-03-27T03:34:50;29755;2025-03-26T19:35:33;10157
